Year,Visits Per Capita,Library
2013,2.83897,DEL NORTE COUNTY LIBRARY DISTRICT
2014,,DEL NORTE COUNTY LIBRARY DISTRICT
2015,,DEL NORTE COUNTY LIBRARY DISTRICT
2016,1.77426,DEL NORTE COUNTY LIBRARY DISTRICT
2017,1.80508,DEL NORTE COUNTY LIBRARY DISTRICT
2018,2.02069,DEL NORTE COUNTY LIBRARY DISTRICT
2019,0.80006,DEL NORTE COUNTY LIBRARY DISTRICT
2010,3.3267,DIXON PUBLIC LIBRARY DISTRICT
2011,3.16644,DIXON PUBLIC LIBRARY DISTRICT
2012,3.06397,DIXON PUBLIC LIBRARY DISTRICT
2013,3.58359,DIXON PUBLIC LIBRARY DISTRICT
2014,3.85709,DIXON PUBLIC LIBRARY DISTRICT
2015,4.01089,DIXON PUBLIC LIBRARY DISTRICT
2016,3.81141,DIXON PUBLIC LIBRARY DISTRICT
2017,2.87999,DIXON PUBLIC LIBRARY DISTRICT
2018,2.50482,DIXON PUBLIC LIBRARY DISTRICT
2019,,DIXON PUBLIC LIBRARY DISTRICT
2010,3.46579,DOWNEY CITY LIBRARY
2011,3.31366,DOWNEY CITY LIBRARY
2012,3.16216,DOWNEY CITY LIBRARY
2013,3.20775,DOWNEY CITY LIBRARY
2014,3.16252,DOWNEY CITY LIBRARY
2015,3.2547,DOWNEY CITY LIBRARY
2016,2.87214,DOWNEY CITY LIBRARY
2017,2.80615,DOWNEY CITY LIBRARY
2018,1.59196,DOWNEY CITY LIBRARY
2019,,DOWNEY CITY LIBRARY
2010,0.32025,EL CENTRO PUBLIC LIBRARY
2011,,EL CENTRO PUBLIC LIBRARY
2012,0.90259,EL CENTRO PUBLIC LIBRARY
2013,1.85983,EL CENTRO PUBLIC LIBRARY
2014,2.12195,EL CENTRO PUBLIC LIBRARY
2015,1.71678,EL CENTRO PUBLIC LIBRARY
2016,2.50421,EL CENTRO PUBLIC LIBRARY
2017,1.96627,EL CENTRO PUBLIC LIBRARY
2018,2.68859,EL CENTRO PUBLIC LIBRARY
2019,2.01435,EL CENTRO PUBLIC LIBRARY
2010,2.74702,EL DORADO COUNTY LIBRARY
2011,2.77348,EL DORADO COUNTY LIBRARY
2012,3.25818,EL DORADO COUNTY LIBRARY
2013,3.34703,EL DORADO COUNTY LIBRARY
