Year,Circulation Per Capita,Library
2013,0.25975,EL SEGUNDO PUBLIC LIBRARY
2014,0.34635,EL SEGUNDO PUBLIC LIBRARY
2015,11.12015,EL SEGUNDO PUBLIC LIBRARY
2016,10.61123,EL SEGUNDO PUBLIC LIBRARY
2017,9.69822,EL SEGUNDO PUBLIC LIBRARY
2018,9.57049,EL SEGUNDO PUBLIC LIBRARY
2019,7.84288,EL SEGUNDO PUBLIC LIBRARY
2010,4.53108,ESCONDIDO PUBLIC LIBRARY
2011,4.67729,ESCONDIDO PUBLIC LIBRARY
2012,0.04153,ESCONDIDO PUBLIC LIBRARY
2013,0.05603,ESCONDIDO PUBLIC LIBRARY
2014,0.11184,ESCONDIDO PUBLIC LIBRARY
2015,3.67502,ESCONDIDO PUBLIC LIBRARY
2016,3.39815,ESCONDIDO PUBLIC LIBRARY
2017,3.08514,ESCONDIDO PUBLIC LIBRARY
2018,3.04859,ESCONDIDO PUBLIC LIBRARY
2019,2.42971,ESCONDIDO PUBLIC LIBRARY
2010,7.49669,FOLSOM PUBLIC LIBRARY
2011,7.59245,FOLSOM PUBLIC LIBRARY
2012,0.09128,FOLSOM PUBLIC LIBRARY
2013,0.11452,FOLSOM PUBLIC LIBRARY
2014,0.15064,FOLSOM PUBLIC LIBRARY
2015,7.94341,FOLSOM PUBLIC LIBRARY
2016,8.59864,FOLSOM PUBLIC LIBRARY
2017,9.3064,FOLSOM PUBLIC LIBRARY
2018,9.49082,FOLSOM PUBLIC LIBRARY
2019,7.31535,FOLSOM PUBLIC LIBRARY
2010,4.24543,FRESNO COUNTY PUBLIC LIBRARY
2011,4.33964,FRESNO COUNTY PUBLIC LIBRARY
2012,0.1046,FRESNO COUNTY PUBLIC LIBRARY
2013,0.20218,FRESNO COUNTY PUBLIC LIBRARY
2014,0.44181,FRESNO COUNTY PUBLIC LIBRARY
2015,4.05194,FRESNO COUNTY PUBLIC LIBRARY
2016,4.29434,FRESNO COUNTY PUBLIC LIBRARY
2017,4.20047,FRESNO COUNTY PUBLIC LIBRARY
2018,3.15217,FRESNO COUNTY PUBLIC LIBRARY
2019,2.62972,FRESNO COUNTY PUBLIC LIBRARY
2010,4.9396,FULLERTON PUBLIC LIBRARY
2011,5.56603,FULLERTON PUBLIC LIBRARY
2012,0.17643,FULLERTON PUBLIC LIBRARY
2013,0.22338,FULLERTON PUBLIC LIBRARY
2014,6.05182,FULLERTON PUBLIC LIBRARY
2015,5.38049,FULLERTON PUBLIC LIBRARY
2016,4.39839,FULLERTON PUBLIC LIBRARY
2017,3.80067,FULLERTON PUBLIC LIBRARY
2018,3.59962,FULLERTON PUBLIC LIBRARY
2019,2.65486,FULLERTON PUBLIC LIBRARY
2010,6.70715,"GLENDALE LIBRARY, ARTS & CULTURE"
2011,6.12478,"GLENDALE LIBRARY, ARTS & CULTURE"
2012,0.12443,"GLENDALE LIBRARY, ARTS & CULTURE"
2013,0.35876,"GLENDALE LIBRARY, ARTS & CULTURE"
2014,0.43527,"GLENDALE LIBRARY, ARTS & CULTURE"
2015,6.76232,"GLENDALE LIBRARY, ARTS & CULTURE"
2016,5.14674,"GLENDALE LIBRARY, ARTS & CULTURE"
