Year,Expense Per Capita,Library
2015,18.98344,FOLSOM PUBLIC LIBRARY
2016,18.71874,FOLSOM PUBLIC LIBRARY
2017,20.56934,FOLSOM PUBLIC LIBRARY
2018,23.30636,FOLSOM PUBLIC LIBRARY
2019,23.80134,FOLSOM PUBLIC LIBRARY
2010,27.9355,FRESNO COUNTY PUBLIC LIBRARY
2011,26.52586,FRESNO COUNTY PUBLIC LIBRARY
2012,26.86278,FRESNO COUNTY PUBLIC LIBRARY
2013,25.95405,FRESNO COUNTY PUBLIC LIBRARY
2014,26.11403,FRESNO COUNTY PUBLIC LIBRARY
2015,27.60774,FRESNO COUNTY PUBLIC LIBRARY
2016,25.99059,FRESNO COUNTY PUBLIC LIBRARY
2017,25.74541,FRESNO COUNTY PUBLIC LIBRARY
2018,28.2608,FRESNO COUNTY PUBLIC LIBRARY
2019,29.83543,FRESNO COUNTY PUBLIC LIBRARY
2010,22.75354,FULLERTON PUBLIC LIBRARY
2011,24.3034,FULLERTON PUBLIC LIBRARY
2012,23.68184,FULLERTON PUBLIC LIBRARY
2013,24.20479,FULLERTON PUBLIC LIBRARY
2014,24.82136,FULLERTON PUBLIC LIBRARY
2015,25.77128,FULLERTON PUBLIC LIBRARY
2016,25.27603,FULLERTON PUBLIC LIBRARY
2017,26.43069,FULLERTON PUBLIC LIBRARY
2018,27.81288,FULLERTON PUBLIC LIBRARY
2019,29.21555,FULLERTON PUBLIC LIBRARY
2010,43.252,"GLENDALE LIBRARY, ARTS & CULTURE"
2011,44.80927,"GLENDALE LIBRARY, ARTS & CULTURE"
2012,40.60621,"GLENDALE LIBRARY, ARTS & CULTURE"
2013,39.22844,"GLENDALE LIBRARY, ARTS & CULTURE"
2014,41.60173,"GLENDALE LIBRARY, ARTS & CULTURE"
